"player_name","pro_pos","nic_year","school","size_score","athleticism_score","cfr_score","pff_score","production_score","cfr_ratio","pff_ratio","final_score","was_starter_proba","was_pro_bowler_proba","started_year1_proba","started_year2_proba","started_year3_proba","combine_person_id","ebs_id","final_pos_class_rank","production_pos_class_rank","athleticism_pos_class_rank"
"Mason Graham","DT",2025,"Michigan",NULL,"77.2100000","82.7000000","93.4600000","92.6900000","0.3900000","0.6100000","85.2700000","0.7598000","0.0943000","0.5292000","0.6417000","0.7783000",NULL,NULL,1,1,4
"Harold Fannin Jr.","TE",2025,"Bowling Green",NULL,"75.9500000","89.9100000","91.3200000","90.0900000","0.6700000","0.3300000","84.0200000","0.7212000","0.1649000","0.5174000","0.4394000","0.5911000",NULL,NULL,4,2,19
"Isaiah Neyor","WR",2025,"Nebraska",NULL,"94.8900000","65.5300000","67.2800000","64.4400000","0.4900000","0.5100000","74.2400000","0.1118000","0.0081000","0.0493000","0.1129000","0.0680000",NULL,NULL,23,34,10
"Jacolby George","WR",2025,"Miami (FL)",NULL,"72.2100000","65.5900000","72.2000000","66.5300000","0.4900000","0.5100000","67.1000000","0.0744000","0.0085000","0.0359000","0.0919000","0.0440000",NULL,NULL,35,26,19
"Jack Bech","WR",2025,"TCU",NULL,"72.8400000","68.4400000","63.1500000","68.3300000","0.4900000","0.5100000","75.0600000","0.6349000","0.1009000","0.3206000","0.5157000","0.3565000",NULL,NULL,15,21,35
"Bilal Nichols","DT",2018,"Delaware","76.9915000","83.6700000",NULL,NULL,"59.6600000","0.0000000","0.0000000","72.3600000","0.5092000","0.0384000","0.1139000","0.3792000","0.3028000",NULL,NULL,12,21,4
"Zach Kerr","DT",2014,"Delaware","73.8617000","72.7200000",NULL,NULL,"54.6500000","0.0000000","0.0000000","62.0500000","0.1700000","0.0330000","0.0514000","0.0969000","0.1302000",NULL,NULL,21,27,10
"Ty Warren","DT",2003,"Texas A&M","77.7681000","75.2400000",NULL,NULL,"81.4700000","0.0000000","0.0000000","82.3700000","0.7279000","0.4080000","0.2870000","0.6883000","0.7165000",NULL,NULL,3,4,7
"Deon Simon","DT",2015,"Northwestern State","81.1325000","74.8800000",NULL,NULL,"50.7200000","0.0000000","0.0000000","62.0100000","0.1771000","0.0311000","0.0654000","0.1143000","0.1163000",NULL,NULL,23,29,9
"Akiem Hicks","DT",2012,"Regina","88.8533000","66.8500000",NULL,NULL,"67.8800000","0.0000000","0.0000000","70.7200000","0.5161000","0.0431000","0.1442000","0.3326000","0.4284000",NULL,NULL,16,20,23
"Anthony Adams","DT",2003,"Penn State","57.1849000","71.7400000",NULL,NULL,"76.1100000","0.0000000","0.0000000","74.8100000","0.4085000","0.2103000","0.1828000","0.3893000","0.3342000",NULL,NULL,8,7,10
"Demetrin Veal","DT",2003,"Tennessee","62.9526000","58.7900000",NULL,NULL,"56.4400000","0.0000000","0.0000000","56.9700000","0.1364000","0.0281000","0.0581000","0.0777000","0.0890000",NULL,NULL,26,23,27
"Demarco McNeil","DT",2004,"Auburn","64.1641000","64.5000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","57.3100000","0.1175000","0.0273000","0.0532000","0.0864000","0.0919000",NULL,NULL,25,21,23
"Eric Coleman","DT",2005,"Clemson","76.3429000","61.8300000",NULL,NULL,"54.6500000","0.0000000","0.0000000","59.5900000","0.1831000","0.0350000","0.0624000","0.1121000","0.0951000",NULL,NULL,20,17,17
"Dwan Edwards","DT",2004,"Oregon State","70.5691000","73.3800000",NULL,NULL,"76.1100000","0.0000000","0.0000000","75.7300000","0.5766000","0.0309000","0.1115000","0.5146000","0.5459000",NULL,NULL,7,4,11
"Colin Cole","DT",2003,"Iowa","68.3515000","60.4500000",NULL,NULL,"54.6500000","0.0000000","0.0000000","56.8400000","0.1319000","0.0282000","0.0557000","0.0781000","0.0936000",NULL,NULL,27,24,26
"Dewayne Robertson","DT",2003,"Kentucky","67.4244000","62.0200000",NULL,NULL,"93.2800000","0.0000000","0.0000000","81.6900000","0.7372000","0.2103000","0.4615000","0.6083000","0.7500000",NULL,NULL,4,2,22
"Quinn Pitcock","DT",2007,"Ohio State","69.0738000","81.1300000",NULL,NULL,"67.8800000","0.0000000","0.0000000","77.5600000","0.5788000","0.2437000","0.2703000","0.5186000","0.5271000",NULL,NULL,2,6,1
"Atiyyah Ellison","DT",2005,"Missouri","78.0841000","54.3300000",NULL,NULL,"67.8800000","0.0000000","0.0000000","64.9300000","0.3531000","0.0480000","0.1002000","0.2985000","0.1223000",NULL,NULL,13,7,20
"Tank Johnson","DT",2004,"Washington","71.0261000","82.6800000",NULL,NULL,"76.1100000","0.0000000","0.0000000","79.3200000","0.5675000","0.1176000","0.1809000","0.6095000","0.5874000",NULL,NULL,5,4,3
"Devaunte Sigler","DT",2016,"Jacksonville State","75.6512000","51.0000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","51.7200000","0.1220000","0.0209000","0.0457000","0.0681000","0.0839000",NULL,NULL,32,30,30
"Vince Wilfork","DT",2004,"Miami (FL)","71.3788000","82.3700000",NULL,NULL,"81.4700000","0.0000000","0.0000000","83.6000000","0.7676000","0.2877000","0.2555000","0.6436000","0.7793000",NULL,NULL,2,1,4
"Ahmad Childress","DT",2004,"Alabama","95.6039000","51.2800000",NULL,NULL,"54.6500000","0.0000000","0.0000000","54.2600000","0.1099000","0.0294000","0.0637000","0.0914000","0.0849000",NULL,NULL,28,21,31
"Darnell Dockett","DT",2004,"Florida State","69.0835000","70.3100000",NULL,NULL,"67.8800000","0.0000000","0.0000000","68.1400000","0.3157000","0.0304000","0.0861000","0.2154000","0.1729000",NULL,NULL,14,9,15
"Ryon Bingham","DT",2004,"Nebraska","69.6980000","80.5100000",NULL,NULL,"56.4400000","0.0000000","0.0000000","65.3400000","0.1589000","0.0457000","0.1078000","0.1177000","0.0985000",NULL,NULL,17,19,5
"Marcus Spears","DT",2005,"LSU","76.5424000","80.8600000",NULL,NULL,"81.4700000","0.0000000","0.0000000","82.6200000","0.7351000","0.2602000","0.3312000","0.5345000","0.7205000",NULL,NULL,2,1,6
"Kevin Vickerson","DT",2005,"Michigan State","83.6827000","72.5500000",NULL,NULL,"56.4400000","0.0000000","0.0000000","64.4000000","0.2541000","0.0369000","0.0666000","0.1678000","0.1297000",NULL,NULL,15,15,11
"Marquise Hill","DT",2004,"LSU","89.5440000","69.1600000",NULL,NULL,"76.1100000","0.0000000","0.0000000","74.1000000","0.5966000","0.0312000","0.1164000","0.4188000","0.4756000",NULL,NULL,8,4,16
"Cory Redding","DT",2003,"Texas","71.2232000","79.2900000",NULL,NULL,"67.8800000","0.0000000","0.0000000","74.8000000","0.5498000","0.0823000","0.2217000","0.3786000","0.4512000",NULL,NULL,9,8,5
"Anttaj Hawthorne","DT",2005,"Wisconsin","78.4360000","60.1100000",NULL,NULL,"58.2300000","0.0000000","0.0000000","62.7500000","0.3527000","0.0256000","0.0683000","0.1501000","0.1862000",NULL,NULL,18,10,19
"Eric Manning","DT",2003,"Oregon State","62.8343000","69.9900000",NULL,NULL,"54.6500000","0.0000000","0.0000000","60.2100000","0.1403000","0.0349000","0.0613000","0.0864000","0.0912000",NULL,NULL,24,24,14
"Sione Pouha","DT",2005,"Utah","80.3778000","84.7900000",NULL,NULL,"67.8800000","0.0000000","0.0000000","80.0700000","0.6518000","0.3438000","0.2713000","0.5889000","0.5879000",NULL,NULL,4,7,4
"Jonathan Babineaux","DT",2005,"Iowa","62.9009000","72.1700000",NULL,NULL,"76.1100000","0.0000000","0.0000000","74.1900000","0.4486000","0.0808000","0.1516000","0.3870000","0.3986000",NULL,NULL,7,5,12
"Elijah Simmons","DT",2025,"Tennessee",NULL,"62.8400000","51.0000000",NULL,"51.7200000","1.0000000","0.0000000","56.9000000","0.1334000","0.0210000","0.0668000","0.0749000","0.0945000",NULL,NULL,40,39,36
"Sam Brown Jr.","WR",2025,"Miami (FL)",NULL,"89.7300000","51.0000000","66.0400000","58.1800000","0.4900000","0.5100000","68.4500000","0.0872000","0.0081000","0.0275000","0.0724000","0.0417000",NULL,NULL,41,46,18
"Christian Tupou","DT",2012,"USC","63.5453000","51.0000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","52.8300000","0.1244000","0.0247000","0.0494000","0.0745000","0.0857000",NULL,NULL,30,27,29
"Darrell Campbell","DT",2004,"Notre Dame","82.5263000","67.7400000",NULL,NULL,"54.6500000","0.0000000","0.0000000","60.4300000","0.1555000","0.0265000","0.0553000","0.1185000","0.0966000",NULL,NULL,22,21,17
"Chad Lavalais","DT",2004,"LSU","66.4807000","71.3100000",NULL,NULL,"60.3700000","0.0000000","0.0000000","66.4100000","0.2647000","0.0336000","0.0717000","0.2740000","0.1515000",NULL,NULL,16,15,13
"Shaun Cody","DT",2005,"USC","66.0692000","78.3900000",NULL,NULL,"76.1100000","0.0000000","0.0000000","77.6100000","0.4839000","0.2342000","0.1727000","0.5283000","0.3934000",NULL,NULL,5,5,7
"Lynn McGruder","DT",2005,"Oklahoma","66.7065000","75.7300000",NULL,NULL,"54.6500000","0.0000000","0.0000000","64.7700000","0.2231000","0.0364000","0.1068000","0.1757000","0.1075000",NULL,NULL,14,17,9
"Tai Felton","WR",2025,"Maryland",NULL,"83.3200000","70.3300000","80.9800000","73.6100000","0.4900000","0.5100000","76.6900000","0.3238000","0.0107000","0.1546000","0.2357000","0.2264000",NULL,NULL,14,12,17
"Craig Terrill","DT",2004,"Purdue","66.7731000","63.0600000",NULL,NULL,"58.2300000","0.0000000","0.0000000","61.5800000","0.2398000","0.0291000","0.0767000","0.1083000","0.1160000",NULL,NULL,20,17,25
"Albert Means","DT",2005,"Memphis","77.6385000","51.0000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","54.8400000","0.1307000","0.0264000","0.0575000","0.0933000","0.0882000",NULL,NULL,21,17,21
"Johnathan Sullivan","DT",2003,"Georgia","73.8783000","68.2700000",NULL,NULL,"89.3400000","0.0000000","0.0000000","83.7600000","0.7438000","0.3547000","0.4671000","0.7187000","0.7521000",NULL,NULL,2,3,16
"Mike Pennel","DT",2014,"Colorado State-Pueblo","84.9862000","65.3400000",NULL,NULL,"54.6500000","0.0000000","0.0000000","58.7600000","0.1587000","0.0248000","0.0495000","0.0751000","0.1108000",NULL,NULL,26,27,17
"Montori Hughes","DT",2013,"Tennessee-Martin","80.7875000","60.7200000",NULL,NULL,"60.3700000","0.0000000","0.0000000","65.1300000","0.3667000","0.0283000","0.0895000","0.3440000","0.1753000",NULL,NULL,18,17,16
"Aubrayo Franklin","DT",2003,"Tennessee","63.8262000","61.9600000",NULL,NULL,"60.3700000","0.0000000","0.0000000","63.7300000","0.3020000","0.0307000","0.0636000","0.2230000","0.1520000",NULL,NULL,21,14,23
"Terry Beckner Jr.","DT",2019,"Missouri","69.9615000","51.0000000","75.2400000","62.5300000","63.9600000","0.3900000","0.6100000","54.2400000","0.1266000","0.0231000","0.0583000","0.0605000","0.0779000",NULL,NULL,22,17,22
"Jonathan Bullard","DT",2016,"Florida","70.5201000","86.5600000","91.0500000","75.1600000","83.8800000","0.3900000","0.6100000","83.9500000","0.6703000","0.0831000","0.3738000","0.5927000","0.7072000",NULL,NULL,3,4,3
"Brodrick Bunkley","DT",2006,"Florida State","73.3759000","99.0000000","84.8100000",NULL,"87.3100000","1.0000000","0.0000000","95.8400000","0.7919000","0.5560000","0.5528000","0.6857000","0.8176000",NULL,NULL,1,1,1
"Matt Dickerson","DT",2018,"UCLA","75.3124000","64.2800000","51.9100000","51.8600000","51.8500000","0.3900000","0.6100000","54.5300000","0.1141000","0.0240000","0.0436000","0.0670000","0.0811000",NULL,NULL,26,27,23
"Glenn Dorsey","DT",2008,"LSU","75.5182000","69.4700000","87.1500000",NULL,"92.9100000","1.0000000","0.0000000","87.7500000","0.7626000","0.4928000","0.5733000","0.6440000","0.7957000",NULL,NULL,2,1,8
"Sharrif Floyd","DT",2013,"Florida","65.6822000","81.8700000","69.9200000",NULL,"74.7100000","1.0000000","0.0000000","79.2700000","0.6986000","0.0736000","0.2565000","0.5056000","0.6860000",NULL,NULL,2,9,3
"Kwame Geathers","DT",2013,"Georgia","97.4704000","51.0000000","53.3600000",NULL,"53.1000000","1.0000000","0.0000000","53.6300000","0.1299000","0.0240000","0.0622000","0.0765000","0.0808000",NULL,NULL,25,23,24
"Davon Godchaux","DT",2017,"LSU","73.3578000","56.7800000","81.5800000","72.9400000","74.4500000","0.3900000","0.6100000","68.8100000","0.4567000","0.0232000","0.0917000","0.2156000","0.4097000",NULL,NULL,14,12,20
"Eddie Goldman","DT",2015,"Florida State","84.0784000","64.9000000","65.5500000",NULL,"71.6000000","1.0000000","0.0000000","74.7800000","0.7123000","0.0454000","0.3608000","0.5396000","0.6932000",NULL,NULL,10,13,21
"Jalen Sundell","C",2024,"North Dakota State",NULL,"74.6400000",NULL,"79.8500000","71.8600000","0.0000000","1.0000000","71.8300000","0.4594000","0.0218000","0.0842000","0.3524000","0.2521000",NULL,NULL,17,13,22
"Jordan Phillips","DT",2025,"Maryland",NULL,"61.9700000","51.0000000","56.5000000","56.4800000","0.3900000","0.6100000","60.7000000","0.1843000","0.0227000","0.0493000","0.1175000","0.1545000",NULL,NULL,23,33,12
"Vernon Broughton","DT",2025,"Texas",NULL,"66.6300000","65.8900000","67.1700000","65.7800000","0.3900000","0.6100000","67.9700000","0.4379000","0.0213000","0.1367000","0.1673000","0.2286000",NULL,NULL,18,21,19
"Gabe Watson","DT",2006,"Michigan","83.3745000","52.9400000","61.8300000",NULL,"62.6100000","1.0000000","0.0000000","61.0600000","0.2546000","0.0226000","0.0949000","0.1260000","0.1311000",NULL,NULL,21,14,24
"Tyson Jackson","DT",2009,"LSU","80.5022000","62.1500000","72.1100000",NULL,"80.1800000","1.0000000","0.0000000","76.4200000","0.7091000","0.1603000","0.3080000","0.4171000","0.7289000",NULL,NULL,5,5,15
"Derrick Brown","DT",2020,"Auburn","87.6810000","63.9900000","83.7000000","94.5200000","95.6900000","0.3900000","0.6100000","87.7200000","0.7587000","0.4381000","0.6009000","0.7081000","0.8094000",NULL,NULL,1,1,13
"PJ Mustipher","DT",2023,"Penn State",NULL,"51.0000000","56.0500000","51.0000000","53.1900000","0.3900000","0.6100000","51.5500000","0.1174000","0.0240000","0.0430000","0.0668000","0.0802000",NULL,NULL,20,20,20
"Davon Hamilton","DT",2020,"Ohio State","79.1916000","72.7700000","68.5400000","64.6400000","67.3800000","0.3900000","0.6100000","70.4800000","0.4222000","0.0263000","0.0698000","0.2268000","0.3502000",NULL,NULL,11,17,8
"Larrell Murchison","DT",2020,"North Carolina State","68.5625000","62.5200000","75.0200000","64.4900000","68.3400000","0.3900000","0.6100000","65.4900000","0.3316000","0.0258000","0.0499000","0.1550000","0.1606000",NULL,NULL,16,16,15
"John Penisini","DT",2020,"Utah","71.8166000","52.2300000","63.0600000","65.0600000","62.7700000","0.3900000","0.6100000","54.2500000","0.1206000","0.0236000","0.0405000","0.0647000","0.0801000",NULL,NULL,22,20,23
"Raequan Williams","DT",2020,"Michigan State","78.1769000","57.9100000","72.0400000","71.2700000","68.5200000","0.3900000","0.6100000","59.2700000","0.1450000","0.0239000","0.0486000","0.0760000","0.0866000",NULL,NULL,19,14,17
"Javon Kinlaw","DT",2020,"South Carolina","90.8160000","71.2600000","68.1500000","78.8100000","79.0000000","0.3900000","0.6100000","78.6000000","0.7064000","0.0766000","0.3534000","0.5277000","0.7364000",NULL,NULL,4,7,9
"Ross Blacklock","DT",2020,"TCU","67.5391000","75.4200000","66.1600000","67.1300000","71.0100000","0.3900000","0.6100000","72.2100000","0.4010000","0.0259000","0.1129000","0.2011000","0.3944000",NULL,NULL,10,11,7
"Benjamin Morrison","CB",2025,"Notre Dame",NULL,"87.9300000","76.8000000","70.2900000","79.8300000","0.8300000","0.1700000","82.7800000","0.6062000","0.0726000","0.5248000","0.5699000","0.6106000",NULL,NULL,4,4,8
"Justin Madubuike","DT",2020,"Texas A&M","71.0944000","85.3400000","71.7700000","83.1800000","79.5400000","0.3900000","0.6100000","81.1800000","0.6312000","0.0518000","0.4406000","0.4871000","0.5342000",NULL,NULL,2,6,3
"McTelvin Agim","DT",2020,"Arkansas","75.1846000","78.3200000","70.9700000","70.8700000","71.2000000","0.3900000","0.6100000","75.5000000","0.5467000","0.0297000","0.1027000","0.4395000","0.5811000",NULL,NULL,6,10,4
"Grey Zabel","T",2025,"North Dakota State",NULL,"88.5100000",NULL,"90.8700000","90.6400000","0.0000000","1.0000000","86.6300000","0.8028000","0.1189000","0.6890000","0.7110000","0.7631000",NULL,NULL,2,1,12
"Logan Brown","T",2025,"Kansas",NULL,"86.0700000",NULL,"78.8800000","70.4700000","0.0000000","1.0000000","73.0000000","0.3106000","0.0132000","0.0622000","0.1803000","0.2727000",NULL,NULL,17,12,5
"Jack Nelson","T",2025,"Wisconsin",NULL,"78.4400000",NULL,"64.9700000","63.6700000","0.0000000","1.0000000","70.8600000","0.3280000","0.0206000","0.1070000","0.2456000","0.3110000",NULL,NULL,19,22,15
"Ajani Cornelius","T",2025,"Oregon",NULL,"77.7700000",NULL,"70.6200000","68.5400000","0.0000000","1.0000000","73.8200000","0.3946000","0.0206000","0.2210000","0.3137000","0.3867000",NULL,NULL,14,14,10
"Cameron Williams","T",2025,"Texas",NULL,"67.7200000",NULL,"63.4500000","71.3600000","0.0000000","1.0000000","73.7300000","0.7321000","0.0206000","0.5060000","0.5148000","0.6132000",NULL,NULL,13,11,21
"Darrion Daniels","DT",2020,"Nebraska","78.3004000","53.3400000","55.2800000","54.5100000","54.3300000","0.3900000","0.6100000","52.4200000","0.1146000","0.0235000","0.0400000","0.0638000","0.0795000",NULL,NULL,23,23,21
"Carlos Davis","DT",2020,"Nebraska","69.0064000","89.8400000","67.1000000","58.1500000","59.0100000","0.3900000","0.6100000","68.5600000","0.2415000","0.0271000","0.0494000","0.1248000","0.1157000",NULL,NULL,12,22,2
"Khalil Davis","DT",2020,"Nebraska","63.1932000","92.0200000","76.0100000","72.6500000","72.5700000","0.3900000","0.6100000","79.1400000","0.5196000","0.0496000","0.1011000","0.4119000","0.5589000",NULL,NULL,3,8,1
"Raekwon Davis","DT",2020,"Alabama","86.5123000","56.6000000","78.0200000","81.7600000","82.2800000","0.3900000","0.6100000","73.6000000","0.5833000","0.0370000","0.3067000","0.3209000","0.6340000",NULL,NULL,9,2,19
"Jordan Elliott","DT",2020,"Missouri","72.6291000","67.5900000","67.7600000","86.1400000","80.1400000","0.3900000","0.6100000","73.7600000","0.4864000","0.0277000","0.1736000","0.3390000","0.3572000",NULL,NULL,8,5,10
"Benito Jones","DT",2020,"Ole Miss","70.2942000","54.7800000","70.7100000","58.9900000","61.7300000","0.3900000","0.6100000","56.0500000","0.1406000","0.0240000","0.0444000","0.0743000","0.0850000",NULL,NULL,21,21,20
"Dont'e Thornton Jr.","WR",2025,"Tennessee",NULL,"89.2700000","57.8700000","69.7300000","62.4900000","0.4900000","0.5100000","71.7200000","0.1063000","0.0091000","0.0441000","0.1024000","0.0436000",NULL,NULL,40,38,28
"Marlon Davidson","DT",2020,"Auburn","73.8346000","63.5300000","77.1500000","80.7600000","81.4800000","0.3900000","0.6100000","74.6600000","0.5660000","0.0402000","0.2048000","0.4675000","0.4593000",NULL,NULL,7,3,14
"Haskell Garrett","DT",2022,"Ohio State","64.6413000","52.0800000","68.6700000","67.2700000","65.8400000","0.3900000","0.6100000","56.7600000","0.1379000","0.0238000","0.0476000","0.0832000","0.0798000",NULL,NULL,18,13,18
"Marvin Wilson","DT",2021,"Florida State","76.5617000","61.3200000","58.9700000","77.1300000","68.6400000","0.3900000","0.6100000","63.5900000","0.2147000","0.0241000","0.0526000","0.0996000","0.1390000",NULL,NULL,16,9,19
"Logan Hall","DT",2022,"Houston","75.2179000","79.9300000","74.2800000","73.3600000","76.5100000","0.3900000","0.6100000","76.6100000","0.4823000","0.0291000","0.2393000","0.3596000","0.4089000",NULL,NULL,5,4,5
"Daviyon Nixon","DT",2021,"Iowa","83.5304000","80.2600000","89.2700000","75.0000000","80.0800000","0.3900000","0.6100000","80.6500000","0.6818000","0.0619000","0.4184000","0.4409000","0.7245000",NULL,NULL,2,2,8
"Tommy Togiai","DT",2021,"Ohio State","62.3931000","85.4800000","65.0700000","71.5500000","68.9000000","0.3900000","0.6100000","73.5400000","0.4088000","0.0307000","0.1075000","0.2696000","0.1695000",NULL,NULL,7,8,3
"Levi Onwuzurike","DT",2021,"Washington","69.1631000","78.1800000","63.5000000","82.5800000","78.1100000","0.3900000","0.6100000","77.4400000","0.6057000","0.0324000","0.2521000","0.3412000","0.5136000",NULL,NULL,3,3,9
"Isaac TeSlaa","WR",2025,"Arkansas",NULL,"96.2700000","51.0000000","53.6900000","52.8800000","0.4900000","0.5100000","69.5500000","0.0843000","0.0081000","0.0292000","0.0867000","0.0453000",NULL,NULL,47,48,21
"Darius Stills","DT",2021,"West Virginia","56.9337000","81.4900000","81.2300000","61.7200000","67.2400000","0.3900000","0.6100000","66.5000000","0.1774000","0.0249000","0.0544000","0.0762000","0.0911000",NULL,NULL,14,11,7
"Marlon Tuipulotu","DT",2021,"USC","70.8125000","71.9000000","70.1100000","59.7700000","64.5600000","0.3900000","0.6100000","67.6700000","0.3846000","0.0288000","0.0567000","0.1463000","0.1912000",NULL,NULL,13,15,14
"Tedarrell Slaton","DT",2021,"Florida","81.0431000","77.0700000","51.3000000","64.2000000","58.7200000","0.3900000","0.6100000","62.6500000","0.1451000","0.0254000","0.0669000","0.0690000","0.0935000",NULL,NULL,17,19,11
"Christian Barmore","DT",2021,"Alabama","79.9445000","71.6900000","69.6500000","84.5100000","82.7500000","0.3900000","0.6100000","80.8800000","0.7729000","0.0648000","0.4630000","0.6138000","0.7860000",NULL,NULL,1,1,15
"Osa Odighizuwa","DT",2021,"UCLA","68.3840000","75.7900000","73.5600000","78.2300000","75.4300000","0.3900000","0.6100000","75.0400000","0.5544000","0.0270000","0.1444000","0.2994000","0.4596000",NULL,NULL,5,5,12
"Tyler Shelvin","DT",2021,"LSU","84.7770000","53.4700000","51.0000000","63.4600000","61.3700000","0.3900000","0.6100000","59.9700000","0.2414000","0.0246000","0.0800000","0.0821000","0.1198000",NULL,NULL,18,17,21
"Cameron Sample","DT",2021,"Tulane","64.3254000","75.3600000","71.8400000","82.0200000","76.8200000","0.3900000","0.6100000","74.6500000","0.4877000","0.0307000","0.1065000","0.2995000","0.4075000",NULL,NULL,6,4,13
"TQ Graham","DT",2021,"Texas","77.7025000","94.9200000","62.6100000","59.9600000","59.2800000","0.3900000","0.6100000","67.7500000","0.1670000","0.0267000","0.0534000","0.0770000","0.0978000",NULL,NULL,12,18,2
"Jerrod Clark","DT",2023,"Coastal Carolina",NULL,"69.6300000","63.5800000","65.9000000","62.7500000","0.3900000","0.6100000","64.8900000","0.2413000","0.0244000","0.1055000","0.1099000","0.1112000",NULL,NULL,13,16,11
"Jay Tufele","DT",2021,"USC","69.1368000","64.7300000","66.6300000","67.9400000","68.9600000","0.3900000","0.6100000","65.1600000","0.2661000","0.0256000","0.0729000","0.0945000","0.1395000",NULL,NULL,15,7,17
"Khyiris Tonga","DT",2021,"BYU","68.7340000","82.2700000","68.2800000","66.7300000","66.5700000","0.3900000","0.6100000","72.3100000","0.4321000","0.0308000","0.0679000","0.1483000","0.3539000",NULL,NULL,10,12,6
"Jaylen Twyman","DT",2021,"Pittsburgh","65.7243000","77.9600000","73.4200000","66.8600000","69.5200000","0.3900000","0.6100000","70.8700000","0.3282000","0.0271000","0.0523000","0.1933000","0.2426000",NULL,NULL,11,6,10
"Cameron Young","DT",2023,"Mississippi State",NULL,"59.6100000","62.1400000","51.0000000","57.5200000","0.3900000","0.6100000","60.1000000","0.2133000","0.0250000","0.0419000","0.1034000","0.1306000",NULL,NULL,18,18,16
"Da'Quan Felton","WR",2025,"Virginia Tech",NULL,"72.7600000","53.3400000","70.2300000","60.7700000","0.4900000","0.5100000","64.5100000","0.0841000","0.0128000","0.0361000","0.0510000","0.0403000",NULL,NULL,24,42,3
"Elijhah Badger","WR",2025,"Florida",NULL,"76.0300000","63.4400000","72.6100000","67.8900000","0.4900000","0.5100000","73.1800000","0.3346000","0.0081000","0.1565000","0.1636000","0.2004000",NULL,NULL,25,23,46
"Naquan Jones","DT",2021,"Michigan State","76.3909000","51.0000000","51.0000000","51.0000000","51.7200000","0.3900000","0.6100000","51.1800000","0.1042000","0.0238000","0.0418000","0.0608000","0.0778000",NULL,NULL,22,22,22
"Austin Faoliu","DT",2021,"Oregon","68.1511000","65.7200000","54.0000000","58.7900000","55.5200000","0.3900000","0.6100000","55.8100000","0.1175000","0.0241000","0.0429000","0.0614000","0.0800000",NULL,NULL,20,20,16
"Forrest Merrill","DT",2021,"Arkansas State","65.9142000","62.8200000","70.3800000","59.3900000","61.5500000","0.3900000","0.6100000","58.1400000","0.1373000","0.0245000","0.0516000","0.0675000","0.0881000",NULL,NULL,19,16,18
"Simon Stepaniak","G",2020,"Indiana","78.0900000","69.3800000",NULL,"61.3400000","61.9300000","0.0000000","1.0000000","65.8700000","0.2815000","0.0169000","0.1098000","0.1639000","0.2054000",NULL,NULL,15,19,12
"Jabaal Sheard","ED",2011,"Pittsburgh","71.2402000","66.2100000","71.6300000",NULL,"74.8000000","1.0000000","0.0000000","73.0400000","0.4022000","0.0835000","0.0800000","0.2616000","0.3035000",NULL,NULL,12,9,19
"Dane Jackson","CB",2020,"Pittsburgh","68.3333000","56.9100000","67.2400000","78.6100000","66.6700000","0.8300000","0.1700000","62.5000000","0.2141000","0.0155000","0.0563000","0.0918000","0.1513000",NULL,NULL,27,17,30
"Rob Petitti","T",2005,"Pittsburgh","88.9800000","64.9000000",NULL,NULL,"57.3500000","0.0000000","0.0000000","62.8500000","0.2982000","0.0128000","0.0416000","0.1295000","0.1685000",NULL,NULL,17,15,19
"Adam Bisnowaty","T",2017,"Pittsburgh","83.6303000","61.2500000",NULL,NULL,"62.9500000","0.0000000","0.0000000","66.1400000","0.4171000","0.0165000","0.1110000","0.1854000","0.2518000",NULL,NULL,9,9,11
"Brian O'Neill","T",2018,"Pittsburgh","73.2627000","66.6100000",NULL,"71.6500000","77.1800000","0.0000000","1.0000000","74.8400000","0.7686000","0.0176000","0.4612000","0.5524000","0.5716000",NULL,NULL,6,8,12
"H.B. Blades","LB",2007,"Pittsburgh","68.8791000","67.9300000",NULL,NULL,"58.2300000","0.0000000","0.0000000","65.0100000","0.2210000","0.0308000","0.0451000","0.1400000","0.1905000",NULL,NULL,16,20,15
"Antonio Johnson","DT",2007,"Mississippi State","79.6687000","76.1700000","59.4400000",NULL,"59.8800000","1.0000000","0.0000000","69.0900000","0.4181000","0.0277000","0.0950000","0.2582000","0.2183000",NULL,NULL,9,14,5
"Charles Grant","T",2025,"William & Mary",NULL,"82.0500000",NULL,"93.8700000","85.8100000","0.0000000","1.0000000","79.8400000","0.5536000","0.0206000","0.2294000","0.4489000","0.4121000",NULL,NULL,8,2,14
"Hollin Pierce","T",2025,"Rutgers",NULL,"68.3600000",NULL,"58.2300000","59.7900000","0.0000000","1.0000000","69.2900000","0.4500000","0.0206000","0.1961000","0.3300000","0.3516000",NULL,NULL,23,26,25
"Matt Toeaina","DT",2007,"Oregon","69.3110000","69.5200000","52.4900000",NULL,"53.3800000","1.0000000","0.0000000","61.2500000","0.2173000","0.0236000","0.0521000","0.0815000","0.1180000",NULL,NULL,15,17,9
"Kenneth Grant","DT",2025,"Michigan",NULL,"72.7600000","63.0500000","75.3100000","75.0000000","0.3900000","0.6100000","77.0300000","0.7016000","0.0228000","0.3529000","0.5090000","0.6164000",NULL,NULL,4,8,2
